permno,adate,qdate,public_date,CAPEI,evm,pe_exi,pe_inc,npm,roa,roe,de_ratio,quick_ratio,sale_nwc,TICKER
25785,12/31/1993,3/31/1994,6/30/1994,29.346,7.17,12.395,12.395,0.026,0.101,0.152,11.287,,,F
25785,12/31/1993,3/31/1994,7/31/1994,32.243,7.17,13.393,13.393,0.026,0.101,0.152,11.287,,,F
25785,12/31/1993,6/30/1994,8/31/1994,31.765,6.766,9.227,9.227,0.033,0.109,0.197,11.055,,,F
25785,12/31/1993,6/30/1994,9/30/1994,30.136,6.766,8.754,8.754,0.033,0.109,0.197,11.055,,,F
25785,12/31/1993,6/30/1994,10/31/1994,32.037,6.766,9.306,9.306,0.033,0.109,0.197,11.055,,,F
25785,12/31/1993,9/30/1994,11/30/1994,29.843,6.398,7.292,7.292,0.036,0.117,0.221,10.622,,,F
25785,12/31/1993,9/30/1994,12/31/1994,30.668,6.398,7.493,7.493,0.036,0.117,0.221,10.622,,,F
25785,12/31/1993,9/30/1994,1/31/1995,27.78,6.398,6.788,6.788,0.036,0.117,0.221,10.622,,,F
25785,12/31/1994,12/31/1994,2/28/1995,20.469,6.489,5.884,5.884,0.041,0.121,0.281,7.81,,,F
25785,12/31/1994,12/31/1994,3/31/1995,21.056,6.489,6.053,6.053,0.041,0.121,0.281,7.81,,,F
25785,12/31/1994,12/31/1994,4/30/1995,21.252,6.489,6.109,6.109,0.041,0.121,0.281,7.81,,,F
25785,12/31/1994,3/31/1995,5/31/1995,25.741,5.863,5.897,5.897,0.045,0.128,0.259,9.456,,,F
25785,12/31/1994,3/31/1995,6/30/1995,28.24,5.863,5.998,5.998,0.045,0.128,0.259,9.456,,,F
25785,12/31/1994,3/31/1995,7/31/1995,27.528,5.863,5.847,5.847,0.045,0.128,0.259,9.456,,,F
25785,12/31/1994,6/30/1995,8/31/1995,26.024,5.866,6.38,6.38,0.043,0.128,0.233,8.996,,,F
25785,12/31/1994,6/30/1995,9/30/1995,26.341,5.866,6.457,6.457,0.043,0.128,0.233,8.996,,,F
25785,12/31/1994,6/30/1995,10/31/1995,24.331,5.866,5.965,5.965,0.043,0.128,0.233,8.996,,,F
25785,12/31/1994,9/30/1995,11/30/1995,21.117,6.013,6.791,6.791,0.037,0.125,0.188,8.724,,,F
25785,12/31/1994,9/30/1995,12/31/1995,21.584,6.013,6.941,6.941,0.037,0.125,0.188,8.724,,,F
